NOE,SST,SSP,QST,QSP,MST,MSP,FIBS,FIBT,FIBPT
555, 0.174949, 1.206004, 0.174777, 0.003094, 0.001655, 0.002174, 200, 0.000537, 0.000627
424, 0.151543, 0.931587, 0.101298, 0.003048, 0.001336, 0.002030, 555, 0.001061, 0.000000
424, 0.151543, 0.931587, 0.101298, 0.003048, 0.001336, 0.002030, 555, 0.001061, 0.000529
555, 0.176517, 1.134793, 0.186526, 0.003436, 0.001616, 0.002097, 444, 0.000958, 0.000000
555, 0.176517, 1.134793, 0.186526, 0.003436, 0.001616, 0.002097, 444, 0.000958, 0.000584
555, 0.194662, 1.233700, 0.181730, 0.003089, 0.001776, 0.002043, 555, 0.001045, 0.000000
555, 0.194662, 1.233700, 0.181730, 0.003089, 0.001776, 0.002043, 555, 0.001045, 0.000532
432, 0.149444, 0.879446, 0.154663, 0.003244, 0.001313, 0.003432, 333, 0.000693, 0.000000
432, 0.149444, 0.879446, 0.154663, 0.003244, 0.001313, 0.003432, 333, 0.000693, 0.000582
444, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200, 0.000860, 0.000000
444, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 200, 0.000860, 0.000341
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 44, 0.000486, 0.000000
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 44, 0.000486, 0.000207
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 55, 0.000479, 0.000000
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 55, 0.000479, 0.000203
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 44, 0.000600, 0.000000
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 44, 0.000600, 0.000265
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 43, 0.000648, 0.000000
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 43, 0.000648, 0.000249
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5, 0.000446, 0.000000
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5, 0.000446, 0.000258
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3, 0.000462, 0.000000
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3, 0.000462, 0.000138
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4, 0.000506, 0.000000
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4, 0.000506, 0.000262
40, 0.012197, 0.084951, 0.010303, 0.003268, 0.001053, 0.001737, 10, 0.000417, 0.000000
40, 0.012197, 0.084951, 0.010303, 0.003268, 0.001053, 0.001737, 10, 0.000417, 0.000636
10, 0.003853, 0.013582, 0.001765, 0.002051, 0.001070, 0.001427, 10, 0.000345, 0.000000
10, 0.003853, 0.013582, 0.001765, 0.002051, 0.001070, 0.001427, 10, 0.000345, 0.000253
30, 0.010880, 0.051032, 0.008171, 0.004246, 0.000911, 0.001877, 10, 0.000350, 0.000000
30, 0.010880, 0.051032, 0.008171, 0.004246, 0.000911, 0.001877, 10, 0.000350, 0.000452
4, 0.003537, 0.020554, 0.001357, 0.008383, 0.000972, 0.001359, 4, 0.000529, 0.000000
4, 0.003537, 0.020554, 0.001357, 0.008383, 0.000972, 0.001359, 4, 0.000529, 0.001233
10, 0.012275, 0.028862, 0.006027, 0.006355, 0.000635, 0.001380, 8, 0.000524, 0.000000
10, 0.012275, 0.028862, 0.006027, 0.006355, 0.000635, 0.001380, 8, 0.000524, 0.001376
200, 0.144828, 0.339109, 0.084204, 0.003758, 0.001122, 0.002106, 8, 0.000636, 0.000000
200, 0.144828, 0.339109, 0.084204, 0.003758, 0.001122, 0.002106, 8, 0.000636, 0.001721
200, 0.094050, 0.342884, 0.090654, 0.003659, 0.000908, 0.001728, 20, 0.000465, 0.000000
200, 0.094050, 0.342884, 0.090654, 0.003659, 0.000908, 0.001728, 20, 0.000465, 0.002117
1500, 0.460173, 3.274415, 0.345859, 0.005366, 0.003311, 0.005364, 200, 0.000792, 0.000000
1500, 0.460173, 3.274415, 0.345859, 0.005366, 0.003311, 0.005364, 200, 0.000792, 0.000648
200, 0.076120, 0.407821, 0.098176, 0.003861, 0.000996, 0.001797, 20, 0.000664, 0.000000
200, 0.076120, 0.407821, 0.098176, 0.003861, 0.000996, 0.001797, 20, 0.000664, 0.002060
